,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn
81,1/7/2022,2022.0,2024.0, MO,AEC,AEC,new madrid,New Madrid - St Francis 345kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
574,5/21/2020,2020.0,2022.0,WA,Avista,Avista,grant,230kV Project #76 POI Station,0,0,0,0,0,0,0,0,1,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
576,2/12/2008,2008.0,2010.0,WA,Avista,Avista,whitman,North Lewiston- Shawnee 230 kV,0,0,0,0,0,0,0,0,1,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
578,5/4/2018,2018.0,2019.0,WA,Avista,Avista,adams,Roxboro 24.9 kV,0,0,0,0,0,0,0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
579,11/9/2020,2020.0,2026.0,ID,Avista,Avista,kootenai,Rathdrum 230kV Station,0,0,0,0,0,0,0,0,1,200.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
580,11/19/2009,2009.0,2012.0,ID,Avista,Avista,latah,Deary 115 kV Substation,0,0,0,0,0,0,0,0,1,65.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
582,9/11/2012,2012.0,2016.0,WA,Avista,Avista,whitman,Thornton 230 kV Substation,0,0,0,0,0,0,0,0,1,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
584,6/10/2010,2010.0,2012.0,ID,Avista,Avista,idaho,Grangeville-Nez Perce 115 kV line near Grangeville,0,0,0,0,0,0,0,0,1,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
585,1/2/2008,2008.0,2011.0,WA,Avista,Avista,lincoln,Devils Gap-Lind 115 kV,0,0,0,0,0,0,0,0,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
586,1/16/2008,2008.0,2009.0,WA,Avista,Avista,garfield,Dry Creek 230 kV Substation,0,0,0,0,0,0,0,0,1,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
