,Unnamed: 0,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,tokens,OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,OBJECTID,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,F_id,name,operator,operator_wikidata,power,substation,type,ORIG_FID,Lat,Long,STATE_ABBR,STATE_NAME,POP_SQMI,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_DESC,GEOID,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,SymbolID,avg_wind_speed_meters_per_second,tokens
30,10435,9/21/2022,2022.0,2026.0,MO,MISO,Ameren Missouri,st. francois,St. Francois 138kV 4ST FRANC 1 bus 345774,0,0,0,1,0,0,0,0,0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,st.,1306,1,4550,1,4550,4550,0,4550,1,4550,way/104477440,St. Joseph Substation,Evergy,Q7987107,substation,transmission,multipolygon,4550,39.84407252,-94.7946756,MO,Missouri,88.3,andrew,Andrew County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5993302,st.
31,10925,10/14/2022,2022.0,2026.0,MO,MISO,Ameren Transmission Company of Illinois,marion,Maywood 345kV,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,maywood,32212,1,30749,1,30749,30749,0,30749,1,30749,way/584482034,Maywood Substation,Ameren,Q462984,substation,transmission,multipolygon,30749,39.8367263,-91.59513365,MO,Missouri,88.3,marion,Marion County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.6272876,maywood
32,11053,3/9/2018,2018.0,2010.0,MO,MISO,Ameren Transmission Company of Illinois,mercer,Maywood 345kV Substation,0,0,0,1,0,0,0,0,0,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,maywood,32212,1,30749,1,30749,30749,0,30749,1,30749,way/584482034,Maywood Substation,Ameren,Q462984,substation,transmission,multipolygon,30749,39.8367263,-91.59513365,MO,Missouri,88.3,marion,Marion County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.6272876,maywood
33,11204,9/14/2015,2015.0,2020.0,MO,MISO,MidAmerican Energy Company,atchison,Atchison County to Booneville 345 kV Line Tap,0,0,0,1,0,0,0,0,0,246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,atchison,2361,1,8861,1,8861,8861,0,8861,1,8861,way/165469706,Atchison Substation,CPS Energy,Q5013736,substation,distribution,multipolygon,8861,40.52536262,-95.39453582,MO,Missouri,88.3,atchison,Atchison County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.7239692,atchison
34,11307,3/12/2018,2018.0,2020.0,MO,MISO,Ameren Transmission Company of Illinois,putnam,Zachary 345kV Substation,0,0,0,1,0,0,0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,zachary,40245,1,43586,1,43586,43586,0,43586,1,43586,way/1021070530,Zachary Substation,Ameren,Q462984,substation,transmission,multipolygon,43586,40.15173045,-92.59867214,MO,Missouri,88.3,adair,Adair County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.7383802,zachary
35,11377,9/25/2022,2022.0,2026.0,MO,MISO,"Entergy Arkansas, LLC",dunklin,Jim Hill-Hayti South 161 kV Line,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,jim,30357,1,26682,1,26682,26682,0,26682,1,26682,way/479286029,Jim Hill,Los Angeles Department of Water and Power,Q3259704,substation,distribution,multipolygon,26682,36.46532916,-90.11628516,MO,Missouri,88.3,dunklin,Dunklin County,H1,County,An active county or equivalent feature,,,,,,,4.4,,3.2177622,jim
36,11402,2/1/2007,2007.0,2009.0,MO,MISO,Ameren Missouri,callaway,Callaway Plant Switchyard,0,0,0,1,0,0,0,0,0,1650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,callaway,15943,1,1829,1,1829,1829,0,1829,1,1829,way/60038726,Callaway Substation,Ameren,Q462984,substation,transmission,multipolygon,1829,38.75878098,-91.78444829,MO,Missouri,88.3,callaway,Callaway County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.6120477,callaway
37,11562,9/3/2004,2004.0,2006.0,MO,MISO,Ameren Missouri,nodaway,Maryville - Creston 161kV,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,maryville,7922,1,27312,1,27312,27312,0,27312,1,27312,way/492885964,Maryville Substation,Evergy,Q7987107,substation,distribution,multipolygon,27312,40.34593102,-94.84774204,MO,Missouri,88.3,nodaway,Nodaway County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5459669,maryville
38,11563,9/3/2004,2004.0,2005.0,MO,MISO,Ameren Missouri,schuyler,Adair - Appanoose 161 kV,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,adair,28256,1,22751,1,22751,22751,0,22751,1,22751,way/385798250,Adair Substation,Ameren,Q462984,substation,distribution,multipolygon,22751,40.14877254,-92.59817385,MO,Missouri,88.3,adair,Adair County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.7383802,adair
39,11651,3/12/2018,2018.0,2021.0,MO,MISO,Ameren Missouri,montgomery,Montgomery 161kV Substation,0,0,0,1,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,montgomery,20888,1,9813,1,9813,9813,0,9813,1,9813,way/170618739,Montgomery Substation,Ameren,Q462984,substation,transmission,multipolygon,9813,38.9216934,-91.46016017,MO,Missouri,88.3,montgomery,Montgomery County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.7887669,montgomery
